Bear,Date,Time,Latitude,Longitude
1,11.04.2014,1:30:25,70.9243527,-148.4784853
1,11.04.2014,2:00:07,70.9243512,-148.4784709
1,11.04.2014,2:30:09,70.9270934,-148.4911237
1,11.04.2014,3:00:01,70.9329096,-148.5269905
1,11.04.2014,3:30:08,70.934797,-148.5603818
1,11.04.2014,4:00:26,70.9348072,-148.5603675
1,11.04.2014,4:30:09,70.9346813,-148.5600414
1,11.04.2014,5:00:00,70.935629,-148.590864
1,11.04.2014,5:30:08,70.938459,-148.6271234
1,11.04.2014,6:00:09,70.9414805,-148.6587002
1,11.04.2014,6:30:08,70.9526425,-148.6739347
1,11.04.2014,7:00:30,70.9623767,-148.6898704
1,11.04.2014,7:30:16,70.9769975,-148.7114471
1,11.04.2014,8:00:08,70.9905931,-148.7257571
1,11.04.2014,8:30:08,71.0005907,-148.7329224
1,11.04.2014,9:00:10,71.0006009,-148.7329081
1,11.04.2014,9:30:15,71.0006125,-148.7329173
1,11.04.2014,10:00:40,71.0006125,-148.7329173
1,11.04.2014,10:30:16,71.0006067,-148.7329081
1,11.04.2014,11:00:08,71.0006082,-148.7329316
1,11.04.2014,11:30:01,71.0005979,-148.7328703
1,11.04.2014,12:00:09,71.0006125,-148.7329081
1,11.04.2014,12:30:09,71.0005892,-148.7328611
1,11.04.2014,13:00:08,71.0083876,-148.7547076
1,11.04.2014,13:30:26,71.0153356,-148.777442
1,11.04.2014,14:00:08,71.0244677,-148.7891221
1,11.04.2014,14:30:09,71.0380185,-148.8146102
1,11.04.2014,15:00:02,71.0483919,-148.822997
1,11.04.2014,15:30:08,71.0643977,-148.8303069
1,11.04.2014,16:00:19,71.0733938,-148.844547
1,11.04.2014,16:30:09,71.0893008,-148.8498846
1,11.04.2014,17:00:09,71.105321,-148.8507381
1,11.04.2014,17:30:02,71.1145717,-148.8487714
1,11.04.2014,18:00:03,71.1148323,-148.8520006
1,11.04.2014,18:30:02,71.1147838,-148.8515028
1,11.04.2014,19:00:30,71.1148006,-148.8508668
1,11.04.2014,19:30:16,71.1148364,-148.8502352
1,11.04.2014,20:00:08,71.1149303,-148.8496791
1,11.04.2014,20:30:01,71.1150778,-148.8488994
1,11.04.2014,21:00:08,71.11525,-148.8480768
1,11.04.2014,21:30:19,71.1154713,-148.8469501
1,11.04.2014,22:00:17,71.1157389,-148.845595
1,11.04.2014,22:30:08,71.1158778,-148.8434914
1,11.04.2014,23:00:09,71.1160046,-148.8409604
1,11.04.2014,23:30:01,71.1160614,-148.8383545
1,12.04.2014,0:00:09,71.1207729,-148.8610498
1,12.04.2014,0:30:29,71.1264277,-148.900025
1,12.04.2014,1:00:09,71.1330406,-148.9112031
1,12.04.2014,1:30:01,71.13323,-148.9095822
1,12.04.2014,2:00:10,71.1334575,-148.9084834
1,12.04.2014,2:30:01,71.1337405,-148.9076598
1,12.04.2014,3:00:30,71.133935,-148.907193
1,12.04.2014,3:30:15,71.1343904,-148.9077458
1,12.04.2014,4:00:08,71.1347301,-148.9069455
1,12.04.2014,4:30:10,71.1348729,-148.9053342
1,12.04.2014,5:00:01,71.1349832,-148.9048963
1,12.04.2014,5:30:09,71.1350469,-148.9045729
1,12.04.2014,6:00:19,71.1352373,-148.9045289
1,12.04.2014,6:30:16,71.1352939,-148.9043527
1,12.04.2014,7:00:08,71.1354044,-148.9042379
1,12.04.2014,7:30:08,71.1355756,-148.9041897
1,12.04.2014,8:00:01,71.1357427,-148.9041841
1,12.04.2014,8:30:09,71.1358417,-148.90405
1,12.04.2014,9:00:10,71.1359873,-148.9039059
1,12.04.2014,9:30:30,71.1361964,-148.9038859
1,12.04.2014,10:00:16,71.1364509,-148.9039364
1,12.04.2014,10:30:08,71.136672,-148.9039823
1,12.04.2014,11:00:09,71.136877,-148.9039477
